Date,Open,High,Low,Close,Close_EWMA,Close_50_MA,Adj_Close,Volume
2016-10-31,28.4125,28.5575,28.3,28.385,28.86024,28.08335,26.6206,105677600
2016-11-01,28.365,28.4425,27.6325,27.8725,28.68065,28.09825,26.13996,175303200
2016-11-02,27.85,28.0875,27.8075,27.8975,28.53826,28.11195,26.1634,113326800
2016-11-03,27.745,27.865,27.3875,27.4575,28.34176,28.12095,25.88297,107730400
2016-11-04,27.1325,27.5625,27.0275,27.21,28.13599,28.1273,25.64966,123348000
2016-11-07,27.52,27.6275,27.365,27.6025,28.03899,28.14465,26.01965,130240000
2016-11-08,27.5775,27.93,27.425,27.765,27.98917,28.16585,26.17283,97016800
2016-11-09,27.47,27.83,27.0125,27.72,27.94023,28.19025,26.13041,236705600
2016-11-10,27.7725,27.7725,26.4575,26.9475,27.75973,28.1987,25.40221,228538000
2016-11-11,26.78,27.2175,26.6375,27.1075,27.64115,28.2072,25.55304,136575600
2016-11-14,26.9275,26.9525,26.02,26.4275,27.42048,28.1971,24.91203,204702000
2016-11-15,26.6425,26.92,26.54,26.7775,27.30358,28.19415,25.24196,129058000
2016-11-16,26.675,27.5575,26.65,27.4975,27.33884,28.2023,25.92067,235362000
2016-11-17,27.4525,27.5875,27.2075,27.4875,27.36587,28.22445,25.91125,110528000
2016-11-18,27.43,27.635,27.415,27.515,27.39298,28.2591,25.93717,113715600
2016-11-21,27.53,27.9975,27.5025,27.9325,27.49108,28.29055,26.33072,117058400
2016-11-22,27.9875,28.105,27.85,27.95,27.57452,28.3098,26.34722,103862000
2016-11-23,27.84,27.8775,27.5825,27.8075,27.61688,28.3071,26.2129,109705600
2016-11-25,27.7825,27.9675,27.7375,27.9475,27.67699,28.2882,26.34487,45903600
2016-11-28,27.8575,28.1175,27.8475,27.8925,27.71617,28.27145,26.29302,108776000
2016-11-29,27.695,28.0075,27.5175,27.865,27.74323,28.26085,26.2671,114115200
2016-11-30,27.9,28.05,27.5675,27.63,27.72265,28.2456,26.04558,144649200
2016-12-01,27.5925,27.735,27.2575,27.3725,27.65898,28.2253,25.80284,148347600
2016-12-02,27.2925,27.5225,27.2125,27.475,27.62553,28.2017,25.89946,106112000
2016-12-05,27.5,27.5075,27.0625,27.2775,27.56225,28.1837,25.71329,137298000
2016-12-06,27.375,27.59,27.2975,27.4875,27.54866,28.16905,25.91125,104782000
2016-12-07,27.315,27.7975,27.29,27.7575,27.58663,28.15875,26.16576,119994800
2016-12-08,27.715,28.1075,27.65,28.03,27.66724,28.1496,26.42264,108273200
2016-12-09,28.0775,28.675,28.0775,28.4875,27.81638,28.15845,26.8539,137610400
2016-12-12,28.3225,28.75,28.1225,28.325,27.90886,28.1597,26.70072,105497600
2016-12-13,28.46,28.98,28.4375,28.7975,28.07043,28.17305,27.14612,174935200
2016-12-14,28.76,29.05,28.745,28.7975,28.20262,28.184,27.14612,136127200
2016-12-15,28.845,29.1825,28.8075,28.955,28.33942,28.19785,27.29459,186098000
2016-12-16,29.1175,29.125,28.9125,28.9925,28.45816,28.20825,27.32994,177404400
2016-12-19,28.95,29.345,28.9375,29.16,28.58577,28.22115,27.48784,111117600
2016-12-20,29.185,29.375,29.17,29.2375,28.70427,28.22565,27.56089,85700000
2016-12-21,29.2,29.35,29.195,29.265,28.80622,28.22945,27.58682,95132800
2016-12-22,29.0875,29.1275,28.91,29.0725,28.85463,28.2242,27.40535,104343600
2016-12-23,28.8975,29.13,28.8975,29.13,28.9047,28.2219,27.45956,56998000
2016-12-27,29.13,29.45,29.1225,29.315,28.9793,28.22005,27.63395,73187600
2016-12-28,29.38,29.505,29.05,29.19,29.01761,28.2161,27.51612,83623600
2016-12-29,29.1125,29.2775,29.1,29.1825,29.04759,28.2124,27.50905,60158000
2016-12-30,29.1625,29.3,28.8575,28.955,29.03075,28.2059,27.29459,122345200
2017-01-03,28.95,29.0825,28.69,29.0375,29.03198,28.20135,27.37237,115127600
2017-01-04,28.9625,29.1275,28.9375,29.005,29.02708,28.19845,27.34172,84472400
2017-01-05,28.98,29.215,28.9525,29.1525,29.04988,28.19325,27.48077,88774400
2017-01-06,29.195,29.54,29.1175,29.4775,29.12763,28.19155,27.78713,127007600
2017-01-09,29.4875,29.8575,29.485,29.7475,29.24033,28.20855,28.04165,134247600
2017-01-10,29.6925,29.845,29.575,29.7775,29.338,28.2317,28.06993,97848400
2017-01-11,29.685,29.9825,29.65,29.9375,29.447,28.26185,28.22075,110354400
2017-01-12,29.725,29.825,29.5525,29.8125,29.51345,28.2904,28.10291,108344800
2017-01-13,29.7775,29.905,29.7025,29.76,29.55828,28.32815,28.05343,104447600
2017-01-17,29.585,30.06,29.555,30,29.63859,28.3702,28.27967,137759200
2017-01-18,30,30.125,29.9275,29.9975,29.70385,28.421,28.27731,94852000
2017-01-19,29.85,30.0225,29.8425,29.945,29.74769,28.4757,28.22782,102389200
2017-01-20,30.1125,30.1125,29.9325,30,29.79357,28.52365,28.27967,130391600
2017-01-23,30,30.2025,29.9425,30.02,29.83474,28.56875,28.29852,88200800
2017-01-24,29.8875,30.025,29.875,29.9925,29.86342,28.6142,28.27259,92844000
2017-01-25,30.105,30.525,30.07,30.47,29.97371,28.68465,28.72271,129510400
2017-01-26,30.4175,30.61,30.4,30.485,30.06667,28.7522,28.73685,105350400
2017-01-27,30.535,30.5875,30.4,30.4875,30.14319,28.8334,28.73921,82251600
2017-01-30,30.2325,30.4075,30.165,30.4075,30.19124,28.906,28.66379,121510000
2017-01-31,30.2875,30.3475,30.155,30.3375,30.21783,28.9628,28.59781,196804000
2017-02-01,31.7575,32.6225,31.7525,32.1875,30.57596,29.0568,30.34172,447940000
2017-02-02,31.995,32.3475,31.945,32.1325,30.85896,29.14915,30.28988,134841600
2017-02-03,32.0775,32.2975,32.04,32.27,31.11552,29.2359,30.4195,98029200
2017-02-06,32.2825,32.625,32.225,32.5725,31.38042,29.32835,30.70465,107383600
2017-02-07,32.635,33.0225,32.6125,32.8825,31.65353,29.42985,30.99687,152735200
2017-02-08,32.8375,33.055,32.805,33.01,31.90016,29.5311,31.11706,92016400
2017-02-09,32.9125,33.1125,32.78,33.105,32.11922,29.63535,31.34191,113399600
2017-02-10,33.115,33.235,33.0125,33.03,32.28482,29.73865,31.27091,80262000
2017-02-13,33.27,33.455,33.1875,33.3225,32.47349,29.8525,31.54783,92141600
2017-02-14,33.3675,33.7725,33.3125,33.755,32.70649,29.98015,31.9573,132904800
2017-02-15,33.88,34.0675,33.655,33.8775,32.9194,30.1082,32.07327,142492400
2017-02-16,33.9175,33.975,33.71,33.8375,33.08633,30.2394,32.0354,90338400
2017-02-17,33.775,33.9575,33.775,33.93,33.23972,30.36825,32.12298,88792800
2017-02-21,34.0575,34.1875,33.995,34.175,33.40977,30.4966,32.35493,98028800
2017-02-22,34.1075,34.28,34.0275,34.2775,33.56754,30.62155,32.45197,83347600
2017-02-23,34.345,34.37,34.075,34.1325,33.67026,30.73445,32.31469,83152800
2017-02-24,33.9775,34.165,33.82,34.165,33.76021,30.85125,32.34547,87106400
2017-02-27,34.285,34.36,34.07,34.2325,33.84608,30.95995,32.40937,81029600
2017-02-28,34.27,34.36,34.175,34.2475,33.91907,31.06895,32.42357,93931600
2017-03-01,34.4725,35.0375,34.4,34.9475,34.10606,31.1888,33.08628,145658400
2017-03-02,35,35.07,34.69,34.74,34.22132,31.30375,32.88984,104844000
2017-03-03,34.695,34.9575,34.6475,34.945,34.3529,31.41945,33.08392,84432400
2017-03-06,34.8425,34.9425,34.65,34.835,34.44055,31.5314,32.97977,87000000
2017-03-07,34.765,34.995,34.6975,34.88,34.52045,31.6437,33.02238,69785200
2017-03-08,34.7375,34.95,34.705,34.75,34.56219,31.75725,32.89931,74828800
2017-03-09,34.685,34.6975,34.2625,34.67,34.58179,31.86805,32.82356,88623600
2017-03-10,34.8125,34.84,34.66,34.785,34.61874,31.97745,32.93244,78451200
2017-03-13,34.7125,34.8575,34.705,34.8,34.65169,32.08965,32.94663,69686800
2017-03-14,34.825,34.9125,34.71,34.7475,34.66911,32.20095,32.89694,61236400
2017-03-15,34.8525,35.1875,34.7575,35.115,34.75018,32.32415,33.24487,102767200
2017-03-16,35.18,35.255,35.065,35.1725,34.82697,32.44685,33.2993,76928000
2017-03-17,35.25,35.25,34.9725,34.9975,34.85797,32.5667,33.13363,175540000
2017-03-20,35.1,35.375,35.0575,35.365,34.95016,32.69095,33.48154,86168000
2017-03-21,35.5275,35.7,34.9325,34.96,34.95195,32.8006,33.09812,158119600
2017-03-22,34.9625,35.4,34.94,35.355,35.02523,32.91275,33.47208,103440800
2017-03-23,35.315,35.395,35.1525,35.23,35.06246,33.0218,33.35374,81385200
2017-03-24,35.375,35.435,35.0875,35.16,35.0802,33.12625,33.28747,89582400
2017-03-27,34.8475,35.305,34.655,35.22,35.10562,33.2344,33.34428,94300400
2017-03-28,35.2275,36.01,35.155,35.95,35.25914,33.3582,34.03539,133499200
2017-03-29,35.92,36.1225,35.7975,36.03,35.3993,33.4788,34.11114,116760000
2017-03-30,36.0475,36.125,35.875,35.9825,35.50533,33.5985,34.06615,84829200
2017-03-31,35.93,36.0675,35.7525,35.915,35.57982,33.7179,34.00226,78646800
2017-04-03,35.9275,36.03,35.7625,35.925,35.64258,33.8364,34.01173,79942800
2017-04-04,35.8125,36.2225,35.7925,36.1925,35.74256,33.95985,34.26498,79565600
2017-04-05,36.055,36.365,35.9525,36.005,35.79028,34.0801,34.08747,110871600
2017-04-06,36.0725,36.13,35.8625,35.915,35.81296,34.189,34.00226,84596000
2017-04-07,35.9325,36.045,35.8175,35.835,35.81696,34.296,33.92651,66688800
2017-04-10,35.9,35.97,35.725,35.7925,35.81252,34.4021,33.88629,75733600
2017-04-11,35.735,35.8375,35.015,35.4075,35.73888,34.5021,33.52179,121517600
2017-04-12,35.4,35.5375,35.2525,35.45,35.68635,34.60435,33.56202,81400000
2017-04-13,35.4775,35.595,35.2625,35.2625,35.60929,34.66585,33.38451,71291600
2017-04-17,35.37,35.47,35.2175,35.4575,35.58169,34.73235,33.56913,66328400
2017-04-18,35.3525,35.51,35.2775,35.3,35.53047,34.79295,33.42001,58790000
2017-04-19,35.47,35.5,35.1125,35.17,35.46493,34.8449,33.29694,69313600
2017-04-20,35.305,35.73,35.29,35.61,35.49131,34.89945,33.7135,93278400
2017-04-21,35.61,35.67,35.4625,35.5675,35.50516,34.9506,33.67326,69283600
2017-04-24,35.875,35.9875,35.795,35.91,35.57877,35.0067,33.99752,68537200
2017-04-25,35.9775,36.225,35.9675,36.1325,35.67945,35.06875,34.20818,75486000
2017-04-26,36.1175,36.15,35.845,35.92,35.72318,35.1207,34.00699,80164800
2017-04-27,35.98,36.04,35.8275,35.9475,35.76397,35.16455,34.03303,56985200
2017-04-28,36.0225,36.075,35.8175,35.9125,35.79097,35.20525,33.99989,83441600
2017-05-01,36.275,36.8,36.24,36.645,35.94625,35.2614,34.69339,134411600
2017-05-02,36.885,37.0225,36.71,36.8775,36.11557,35.32035,34.9135,181408800
2017-05-03,36.3975,36.8725,36.0675,36.765,36.23365,35.37215,34.80699,182788000
2017-05-04,36.63,36.785,36.4525,36.6325,36.30617,35.41925,34.68154,93487600
2017-05-05,36.69,37.245,36.69,37.24,36.47595,35.4814,35.25669,109310800
2017-05-08,37.2575,38.425,37.2575,38.2525,36.79896,35.56315,36.21527,195009600
2017-05-09,38.4675,38.72,38.3625,38.4975,37.10779,35.64845,36.44722,156521600
2017-05-10,38.4075,38.485,38.0275,38.315,37.32728,35.7298,36.27443,103222800
2017-05-11,38.1125,38.5175,38.0775,38.4875,37.53823,35.8006,36.58815,109020400
2017-05-12,38.675,39.105,38.6675,39.025,37.80855,35.8863,37.09911,130108000
2017-05-15,39.0025,39.1625,38.7625,38.925,38.01154,35.9659,37.00406,104038800
2017-05-16,38.985,39.015,38.68,38.8675,38.16717,36.04655,36.9494,80194000
2017-05-17,38.4,38.6425,37.4275,37.5625,38.05723,36.1002,35.7088,203070800
2017-05-18,37.8175,38.335,37.7825,38.135,38.07137,36.1679,36.25305,134272800
2017-05-19,38.345,38.495,38.1575,38.265,38.10658,36.2398,36.37664,107843200
2017-05-22,38.5,38.645,38.2275,38.4975,38.17765,36.31405,36.59766,91865600
2017-05-23,38.725,38.725,38.3275,38.45,38.22717,36.38705,36.5525,79675600
2017-05-24,38.46,38.5425,38.1675,38.335,38.24678,36.4588,36.44318,76712000
2017-05-25,38.4325,38.5875,38.2575,38.4675,38.28691,36.52585,36.56914,76942400
2017-05-26,38.5,38.56,38.3275,38.4025,38.30792,36.59045,36.50735,87710400
2017-05-30,38.355,38.6075,38.3325,38.4175,38.32785,36.65885,36.52161,80507600
2017-05-31,38.4925,38.5425,38.095,38.19,38.30278,36.71535,36.30534,97804800
2017-06-01,38.2925,38.3325,38.055,38.295,38.30137,36.78205,36.40514,65616400
2017-06-02,38.395,38.8625,38.2225,38.8625,38.40339,36.8522,36.94465,111082800
2017-06-05,38.585,38.6125,38.365,38.4825,38.41777,36.91725,36.5834,101326800
2017-06-06,38.475,38.9525,38.445,38.6125,38.45318,36.9863,36.70699,106499600
2017-06-07,38.755,38.995,38.62,38.8425,38.52396,37.05875,36.92563,84278400
2017-06-08,38.8125,38.885,38.6,38.7475,38.56461,37.1147,36.83532,85003200
2017-06-09,38.7975,38.7975,36.505,37.245,38.32468,37.139,35.40697,259530800
2017-06-12,36.435,36.5225,35.6275,36.355,37.96656,37.14645,34.56089,289229200
2017-06-13,36.79,36.8625,36.2875,36.6475,37.72673,37.1611,34.83895,136661600
2017-06-14,36.875,36.875,35.96,36.29,37.4655,37.1684,34.49911,126124800
2017-06-15,35.83,36.12,35.5525,36.0725,37.21223,37.166,34.29233,128661600
2017-06-16,35.945,36.125,35.55,35.5675,36.91319,37.15725,33.81226,201444400
